Cities,Country,Latitude,Longitude,Temperature,Cloudiness,Humidity,Windspeed (mph)
quelimane,MZ,-17.8776,36.8902,81.28,88,78,7.74
saldanha,PT,41.4184,-6.5524,40.83,0,84,4.94
ilulissat,GL,69.2167,-51.1,5.04,56,100,2.93
stavern,NO,59,10.0333,42.9,48,87,17.81
lodja,CD,-3.5242,23.601,70.98,48,96,3.15
tekeli,KZ,44.8615,78.7629,-32.48,0,51,2.48
husavik,CA,50.5623,-96.9949,-2.29,0,84,3.38
talnakh,RU,69.494,88.3908,10,76,93,10.65
torbay,CA,47.6577,-52.727,40.65,92,78,16.91
siddhapur,IN,23.9192,72.3743,52.53,0,77,3.38
posse,BR,-14.0836,-46.3564,74.35,20,90,3.49
tiarei,PF,-17.5334,-149.3334,83.64,8,100,16.24
hobart,AU,-42.8826,147.3281,77.94,24,66,7.18
pisco,PE,-13.71,-76.203,77.68,0,67,5.61
saint-leu,RE,-21.15,55.2833,77.23,20,100,4.72
steubenville,US,40.3698,-80.634,50,0,50,3.6
lere,TD,9.6587,14.2251,71.25,0,38,11.21
iqaluit,CA,63.7494,-68.5219,-8.63,48,80,4.94
korop,UA,51.5671,32.9521,20.98,92,88,7.74
mataura,NZ,-46.1928,168.8643,65.62,56,88,6.73
puyo,EC,-1.4824,-78.0011,68.68,20,87,1.81
broome,GB,52.4688,1.4544,51.22,0,84,20.83
meulaboh,ID,4.1363,96.1285,79.57,36,100,3.71
tiznit,MA,29.6986,-9.7313,49.42,0,82,6.73
hofn,IS,64.2539,-15.2082,33.58,36,100,7.85
san-pedro,CI,4.7485,-6.6363,77.91,48,89,4.05
nanning,CN,22.8326,108.3027,38.23,80,92,11.77
tura,IN,25.5174,90.2067,44.07,0,74,2.15
shizunai,JP,42.3339,142.3669,19.18,20,100,8.41
hirara,JP,24.8,125.2833,65.53,100,100,28.32
kasempa,ZM,-13.4608,25.832,68.1,64,87,2.71
esso,RU,55.9282,158.7044,24.67,92,100,2.37
yaan,NG,7.3833,8.5667,82.27,0,28,11.32
mana,RS,43.5213,20.2353,26.56,0,79,2.15
gidole,ET,5.65,37.3667,60.9,12,61,2.15
lebork,PL,54.5392,17.7501,42.35,92,95,22.28
ouahigouya,BF,13.581,-2.4177,76.11,68,29,4.83
mugur-aksy,RU,50.38,90.4417,-35.32,0,51,2.59
saurimo,AO,-9.659,20.3981,67.74,0,95,2.59
wonthaggi,AU,-38.6044,145.5913,77.91,0,72,5.5
arrifes,PT,37.7667,-25.7001,61.08,56,100,12.44
vao,EE,59.1018,26.1904,32.32,88,96,4.94
kahului,US,20.8894,-156.4728,75.25,76,87,8.41
blackfoot,US,43.19,-112.3484,43.88,76,78,10.98
matara,PE,-13.7417,-72.8996,63.68,48,31,2.04
anchorage,US,61.2163,-149.8949,2.04,8,88,3.38
bongor,TD,10.2816,15.3713,71.61,0,34,10.76
leningradskiy,RU,69.3833,178.4167,8.2,36,91,6.62
rolla,US,37.9514,-91.7718,64.45,0,27,3.83
bandarbeyla,SO,9.4942,50.8122,74.08,0,100,15.46
busselton,AU,-33.6445,115.3489,59.19,0,100,20.38
nampa,US,43.5737,-116.5597,50.55,8,92,2.82
yalvac,TR,38.2956,31.1778,7.62,0,100,1.14
mattru,SL,7.6244,-11.8333,84.07,44,54,4.72
gorontalo,ID,0.5384,123.0595,74.31,56,96,2.82
ipira,BR,-27.4148,-51.771,71.2,92,100,3.49
mahajanga,MG,-15.7167,46.3167,81.69,8,100,5.61
kodiak,US,39.9519,-94.7572,37.44,64,49,10.31
katangli,RU,51.7102,143.2326,-2.33,8,100,6.85
homer,US,59.6441,-151.5402,19.45,0,100,17.81
